Date,Interval,Calls,day_of_week,#_day_of_week,#_intervals,#_int_in_hour,Calls\hours,Month,Year,dataNorm,dataNorm2,first_diff,first_diff2
2016-11-25,4552,5656,Friday,4,95,23.75,238,11,2016,1.0250090612540776,1.0181329314071936,0.1411743385284524,0.7086887974536582
2016-11-26,4560,3776,Saturday,5,96,24.0,157,11,2016,0.6843059079376586,-0.6417366461340998,-0.3407031533164191,-1.6598695775412935
2016-11-27,4466,2245,Sunday,6,95,23.75,94,11,2016,0.4068503080826386,-1.9757729484326918,-0.27745559985501994,-1.3340363022985922
2016-11-28,4526,5327,Monday,0,91,22.75,234,11,2016,0.9653860094237042,0.6870555276301641,0.5585357013410657,2.662828476062856
2016-11-29,4541,5337,Tuesday,1,92,23.0,232,11,2016,0.9671982602392171,0.6207522138517028,0.0018122508155128392,-0.06630331377846133
2016-11-30,4545,5398,Wednesday,2,94,23.5,229,11,2016,0.9782529902138456,0.599697204551291,0.01105472997462853,-0.02105500930041171
2016-12-01,4549,5200,Thursday,3,95,23.75,218,12,2016,0.9423704240666908,0.3964823814294196,-0.03588256614715479,-0.20321482312187145
2016-12-02,4555,5813,Friday,4,95,23.75,244,12,2016,1.0534613990576296,0.8555345765808691,0.11109097499093878,0.45905219515144946
2016-12-03,4560,3874,Saturday,5,96,24.0,161,12,2016,0.7020659659296846,-0.6908416941868876,-0.35139543312794497,-1.5463762707677566
2016-12-04,4560,2462,Sunday,6,96,24.0,102,12,2016,0.44617615077926787,-1.9498478963435737,-0.25588981515041676,-1.2590062021566861
2016-12-05,4551,5272,Monday,0,95,23.75,221,12,2016,0.9554186299383834,0.4291358658509421,0.5092424791591156,2.378983762194516
2016-12-06,4560,1886,Tuesday,1,96,24.0,78,12,2016,0.34179050380572673,-1.5280286122766662,-0.6136281261326567,-1.9571644781276083
2016-12-07,4552,5422,Wednesday,2,95,23.75,228,12,2016,0.9826023921710765,0.7327809670707639,0.6408118883653497,2.26080957934743
2016-12-08,4560,5257,Thursday,3,96,24.0,219,12,2016,0.9527002537151141,0.6198319631517917,-0.029902138455962346,-0.11294900391897222
2016-12-09,4539,6110,Friday,4,94,23.5,260,12,2016,1.1072852482783617,1.100044932898388,0.1545849945632476,0.4802129697465962
2016-12-10,4560,3948,Saturday,5,96,24.0,164,12,2016,0.7154766219644799,-0.2401811448803582,-0.3918086263138818,-1.340226077778746
2016-12-11,4465,2878,Sunday,6,95,23.75,121,12,2016,0.5215657847046031,-0.9832297450559626,-0.1939108372598768,-0.7430486001756045
2016-12-12,4542,6078,Monday,0,93,23.25,261,12,2016,1.1014860456687205,0.95133065334675,0.5799202609641174,1.9345603984027127
2016-12-13,4514,6598,Tuesday,1,91,22.75,290,12,2016,1.1957230880753897,1.0653474734107227,0.09423704240666919,0.11401682006397262
2016-12-14,4433,6101,Wednesday,2,92,23.0,265,12,2016,1.1056542225444002,0.5977017951591123,-0.09006886553098958,-0.4676456782516104
2016-12-15,4560,5536,Thursday,3,96,24.0,230,12,2016,1.0032620514679231,0.15622091840377486,-0.10239217107647702,-0.4414808767553374
2016-12-16,4555,6201,Friday,4,95,23.75,261,12,2016,1.1237767306995288,0.626451007654597,0.12051467923160564,0.4702300892508222
2016-12-17,4560,3842,Saturday,5,96,24.0,160,12,2016,0.6962667633200434,-1.0538272481971127,-0.4275099673794853,-1.6802782558517098
2016-12-18,4560,2802,Sunday,6,96,24.0,116,12,2016,0.5077926785067053,-1.7601899896901172,-0.18847408481333816,-0.7063627414930045
2016-12-19,4538,6092,Monday,0,91,22.75,267,12,2016,1.1040231968104386,0.548516429350167,0.5962305183037333,2.308706419040284
2016-12-20,4547,5756,Tuesday,1,92,23.0,250,12,2016,1.0431315694092063,0.42532421298407597,-0.06089162740123233,-0.12319221636609101
2016-12-21,4550,5790,Wednesday,2,95,23.75,243,12,2016,1.04929322218195,0.4956745034611621,0.00616165277274372,0.07035029047708613
2016-12-22,4557,5428,Thursday,3,95,23.75,228,12,2016,0.9836897426603842,0.22994675927787991,-0.06560347952156576,-0.26572774418328216
2016-12-23,4550,5074,Friday,4,95,23.75,213,12,2016,0.9195360637912287,0.08686837847828598,-0.06415367886915557,-0.14307838079959395
2016-12-24,4555,2926,Saturday,5,95,23.75,123,12,2016,0.5302645886190649,-1.379691377023204,-0.38927147517216376,-1.46655975550149
2016-12-25,4560,1947,Sunday,6,96,24.0,81,12,2016,0.3528452337803552,-1.7154250742582882,-0.1774193548387097,-0.33573369723508417
2016-12-26,4560,2231,Monday,0,96,24.0,92,12,2016,0.4043131569409206,-1.1229694524902816,0.05146792316056542,0.5924556217680066
2016-12-27,4560,4135,Tuesday,1,96,24.0,172,12,2016,0.7493657122145705,0.12826492192339353,0.34505255527364986,1.2512343744136751
2016-12-28,4546,3874,Wednesday,2,95,23.75,163,12,2016,0.7020659659296846,0.1592165829054128,-0.04729974628488587,0.030951660982019263
2016-12-29,4560,3968,Thursday,3,96,24.0,165,12,2016,0.7191011235955056,0.4604012357066562,0.017035157665820977,0.3011846528012434
2016-12-30,4548,4362,Friday,4,95,23.75,183,12,2016,0.7905038057267125,1.0395707054803978,0.07140268213120693,0.5791694697737415
2016-12-31,4560,4229,Saturday,5,96,24.0,176,12,2016,0.7664008698803915,0.6909763150137609,-0.02410293584632106,-0.34859439046663687
2017-01-01,4560,3015,Sunday,6,96,24.0,125,1,2017,0.7252826557613664,-0.8642150917115158,-0.041118214119025054,-1.5551914067252768
2017-01-02,4536,4195,Monday,0,93,23.25,180,1,2017,1.0091412076016357,0.5028132792031607,0.2838585518402693,1.3670283709146764
2017-01-03,4434,4157,Tuesday,1,91,22.75,182,1,2017,1.0,0.4102642301231804,-0.009141207601635726,-0.09254904907998024
2017-01-04,4550,4129,Wednesday,2,95,23.75,173,1,2017,0.9932643733461631,0.26716729280026585,-0.006735626653836868,-0.14309693732291456
2017-01-05,4550,4729,Thursday,3,95,23.75,199,1,2017,1.1375992302140967,1.1610694166323916,0.14433485686793357,0.8939021238321258
2017-01-06,4560,2337,Friday,4,96,24.0,97,1,2017,0.5621842675006014,-1.7833182472369933,-0.5754149627134953,-2.944387663869385
2017-01-07,4560,2480,Saturday,5,96,24.0,103,1,2017,0.5965840750541256,-1.1560439820348234,0.03439980755352423,0.6272742652021699
2017-01-08,4560,1703,Sunday,6,96,24.0,70,1,2017,0.4096704354101516,-1.4293330799075554,-0.186913639643974,-0.27328909787273203
2017-01-09,4527,4762,Monday,0,92,23.0,207,1,2017,1.145537647341833,1.0234720880653685,0.7358672119316815,2.452805167972924
2017-01-10,4552,4558,Tuesday,1,93,23.25,196,1,2017,1.0964637960067356,0.7884161206175246,-0.04907385133509745,-0.23505596744784385
2017-01-11,4530,4446,Wednesday,2,93,23.25,191,1,2017,1.0695212893913881,0.653250962401188,-0.026942506615347472,-0.13516515821633668
2017-01-12,4545,4387,Thursday,3,94,23.5,186,1,2017,1.0553283617993745,0.6675367356196993,-0.014192927592013627,0.014285773218511322
2017-01-13,4560,4986,Friday,4,96,24.0,207,1,2017,1.1994226605725282,0.8501683592269685,0.14409429877315372,0.18263162360726926
2017-01-14,4560,2785,Saturday,5,96,24.0,116,1,2017,0.6699542939619918,-0.9514236030734546,-0.5294683666105364,-1.801591962300423
2017-01-15,4560,1746,Sunday,6,96,24.0,72,1,2017,0.4200144334856868,-1.8270261675030914,-0.249939860476305,-0.8756025644296368
